"ai_show_connect_crawl","cmd",,,,,,,,,,,,,,,,,,,,,"Displays the allowed connections between each node for the currently selected hull type.  Hulls are color code as follows:
	Gre"
"ai_show_connect_fly","cmd",,,,,,,,,,,,,,,,,,,,,"Displays the allowed connections between each node for the currently selected hull type.  Hulls are color code as follows:
	Gre"
"ai_show_connect_jump","cmd",,,,,,,,,,,,,,,,,,,,,"Displays the allowed connections between each node for the currently selected hull type.  Hulls are color code as follows:
	Gre"
"ai_show_graph_connect","cmd",,,,,,,,,,,,,,,,,,,,,"Toggles graph connection display for the node that the player is looking at.  Nodes that are connected to the selected node by "
"ai_show_grid","cmd",,,,,,,,,,,,,,,,,,,,,"Draw a grid on the floor where looking."
"ai_show_hints","cmd",,,,,,,,,,,,,,,,,,,,,"Displays all hints as small boxes
	Blue		- hint is available for use
	Red		- hint is currently being used by an NPC
	Orange		- "
"ai_show_hull","cmd",,,,,,,,,,,,,,,,,,,,,"Displays the allowed hulls between each node for the currently selected hull type.  Hulls are color code as follows:
	Green		- "
"ai_show_node","cmd",,,,,,,,,,,,,,,,,,,,,"Highlight the specified node"
"ai_show_visibility","cmd",,,,,,,,,,,,,,,,,,,,,"Toggles visibility display for the node that the player is looking at.  Nodes that are visible from the selected node will be d"
"ai_step","cmd",,,,,,,,,,,,,,,,,,,,,"NPCs will freeze after completing their current task.  To complete the next task, use 'ai_step' again.  To resume processing no"
"ai_test_los","cmd",,,,,,,,,,,,,,,,,,,,,"Test AI LOS from the player's POV"
"ai_think_limit_label","0       ","ARCHIVE",,"GAMEDLL",,,,,,,,,,,,,,,,,,""
"ai_vehicle_avoidance","1       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,""
"ainet_generate_report","cmd",,,,,,,,,,,,,,,,,,,,,"Generate a report to the console."
"ainet_generate_report_only","cmd",,,,,,,,,,,,,,,,,,,,,"Generate a report to the console."
"air_density","cmd",,,,,,,,,,,,,,,,,,,,,"Changes the density of air for drag computations."
"alias","cmd",,,,,,,,,,,,,,,,,,,,,"Alias a command."
"'-alt1'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+alt1'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'-alt2'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+alt2'","cmd",,,,,,,,,,,,,,,,,,,,,""
"ammo_338mag_max","30      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_357sig_max","52      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_357sig_min_max","12      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_357sig_p250_max","26      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_357sig_small_max","24      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_45acp_max","100     ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_50AE_max","35      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_556mm_box_max","200     ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_556mm_max","90      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_556mm_small_max","40      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_57mm_max","100     ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_762mm_max","90      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_9mm_max","120     ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_buckshot_max","32      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_grenade_limit_breachcharge","3       ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_grenade_limit_bumpmine","3       ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_grenade_limit_default","1       ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_grenade_limit_flashbang","1       ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_grenade_limit_snowballs","3       ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_grenade_limit_total","3       ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ammo_item_limit_healthshot","4       ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"anim_twistbones_enabled","0       ",,,,"CHEAT",,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,"Enable procedural twist bones."
"askconnect_accept","cmd",,,,,,,,,,,,,,,,,,,,,"Accept a redirect request by the server."
"asw_engine_finished_building_map","cmd",,,,,,,,,,,,,,,,,,,,,"Notify engine that we've finished building a map"
"async_resume","cmd",,,,,,,,,,,,,,,,,,,,,""
"async_suspend","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+attack'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'-attack'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'-attack2'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+attack2'","cmd",,,,,,,,,,,,,,,,,,,,,""
"audit_save_in_memory","cmd",,,,,,,,,,,,,,,,,,,,,"Audit the memory usage and files in the save-to-memory system"
"autobuy","cmd",,,,,,,,,,,,,,,,,,,,,"Attempt to purchase items with the order listed in cl_autobuy"
"autosave","cmd",,,,,,,,,,,,,,,,,,,,,"Autosave"
"autosavedangerous","cmd",,,,,,,,,,,,,,,,,,,,,"AutoSaveDangerous"
"autosavedangerousissafe","cmd",,,,,,,,,,,,,,,,,,,,,""
"'-back'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+back'","cmd",,,,,,,,,,,,,,,,,,,,,""
"banid","cmd",,,,,,,,,,,,,,,,,,,,,"Add a user ID to the ban list."
"banip","cmd",,,,,,,,,,,,,,,,,,,,,"Add an IP address to the ban list."
"bench_end","cmd",,,,,,,,,,,,,,,,,,,,,"Ends gathering of info."
"bench_showstatsdialog","cmd",,,,,,,,,,,,,,,,,,,,,"Shows a dialog displaying the most recent benchmark results."
"bench_start","cmd",,,,,,,,,,,,,,,,,,,,,"Starts gathering of info. Arguments: filename to write results into"
"bench_upload","cmd",,,,,,,,,,,,,,,,,,,,,"Uploads most recent benchmark stats to the Valve servers."
"benchframe","cmd",,,,,,,,,,,,,,,,,,,,,"Takes a snapshot of a particular frame in a time demo."
"bind","cmd",,,,,,,,,,,,,,,,,,,,,"Bind a key."
"bind_osx","cmd",,,,,,,,,,,,,,,,,,,,,"Bind a key for OSX only."
"BindToggle","cmd",,,,,,,,,,,,,,,,,,,,,"Performs a bind <key> 'increment var <cvar> 0 1 1'"
"blackbox_record","cmd",,,,,,,,,,,,,,,,,,,,,"Record an entry into the blackbox"
"bot_add","cmd",,,,,,,,,,,,,,,,,,,,,"bot_add <t|ct> <type> <difficulty> <name> - Adds a bot matching the given criteria."
"bot_add_ct","cmd",,,,,,,,,,,,,,,,,,,,,"bot_add_ct <type> <difficulty> <name> - Adds a Counter-Terrorist bot matching the given criteria."
"bot_add_t","cmd",,,,,,,,,,,,,,,,,,,,,"bot_add_t <type> <difficulty> <name> - Adds a terrorist bot matching the given criteria."
"bot_all_weapons","cmd",,,,,,,,,,,,,,,,,,,,,"Allows the bots to use all weapons"
"bot_allow_grenades","1       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots may use grenades."
"bot_allow_machine_guns","1       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots may use the machine gun."
"bot_allow_pistols","1       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots may use pistols."
"bot_allow_rifles","1       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots may use rifles."
"bot_allow_rogues","1       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots may occasionally go 'rogue'. Rogue bots do not obey radio commands, nor pursue scenario goals."
"bot_allow_shotguns","1       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots may use shotguns."
"bot_allow_snipers","1       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots may use sniper rifles."
"bot_allow_sub_machine_guns","1       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots may use sub-machine guns."
"bot_autodifficulty_threshold_high","0       ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,"Upper bound above Average Human Contribution Score that a bot must be above to change its difficulty"
"bot_autodifficulty_threshold_low","-2      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,"Lower bound below Average Human Contribution Score that a bot must be below to change its difficulty"
"bot_chatter","0       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"Control how bots talk. Allowed values: 'off', 'radio', 'minimal', or 'normal'."
"bot_coop_force_throw_grenade_chance","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,""
"bot_coop_idle_max_vision_distance","1400    ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"Max distance bots can see targets (in coop) when they are idle, dormant, hiding or asleep."
"bot_crouch","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,""
"bot_debug","0       ",,,"GAMEDLL","CHEAT",,,,,,,"REPLICATED",,,,,,,,,,"For internal testing purposes."
"bot_debug_target","0       ",,,"GAMEDLL","CHEAT",,,,,,,"REPLICATED",,,,,,,,,,"For internal testing purposes."
"bot_defer_to_human_goals","0       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"If nonzero and there is a human on the team, the bots will not do the scenario tasks."
"bot_defer_to_human_items","1       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"If nonzero and there is a human on the team, the bots will not get scenario items."
"bot_difficulty","2       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"Defines the skill of bots joining the game.  Values are: 0=easy, 1=normal, 2=hard, 3=expert."
"bot_dont_shoot","0       ",,,"GAMEDLL","CHEAT",,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots will not fire weapons (for debugging)."
"bot_freeze","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,""
"bot_goto_mark","cmd",,,,,,,,,,,,,,,,,,,,,"Sends a bot to the marked nav area (useful for testing navigation meshes)"
"bot_goto_selected","cmd",,,,,,,,,,,,,,,,,,,,,"Sends a bot to the selected nav area (useful for testing navigation meshes)"
"bot_ignore_enemies","0       ",,,"GAMEDLL","CHEAT",,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots will ignore enemies (for debugging)."
"bot_ignore_players","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,"Bots will not see non-bot players."
"bot_join_after_player","1       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots wait until a player joins before entering the game."
"bot_join_team","0       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"Determines the team bots will join into. Allowed values: 'any', 'T', or 'CT'."
"bot_kick","cmd",,,,,,,,,,,,,,,,,,,,,"bot_kick <all> <t|ct> <type> <difficulty> <name> - Kicks a specific bot, or all bots, matching the given criteria."
"bot_kill","cmd",,,,,,,,,,,,,,,,,,,,,"bot_kill <all> <t|ct> <type> <difficulty> <name> - Kills a specific bot, or all bots, matching the given criteria."
"bot_knives_only","cmd",,,,,,,,,,,,,,,,,,,,,"Restricts the bots to only using knives"
"bot_loadout","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,"bots are given these items at round start"
"bot_max_hearing_distance_override","-1      ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"Max distance bots can hear targets."
"bot_max_visible_smoke_length","200     ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"Bots will see players through smoke clouds up to this length."
"bot_max_vision_distance_override","-1      ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"Max distance bots can see targets."
"bot_mimic","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,""
"bot_mimic_yaw_offset","180     ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,""
"bot_pistols_only","cmd",,,,,,,,,,,,,,,,,,,,,"Restricts the bots to only using pistols"
"bot_place","cmd",,,,,,,,,,,,,,,,,,,,,"bot_place - Places a bot from the map at where the local player is pointing."
"bot_quota","10      ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"Determines the total number of bots in the game."
"bot_quota_mode","0       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,,"Determines the type of quota.
Allowed values: 'normal', 'fill', and 'match'.
If 'fill', the server will adjust bots to keep N p"
"bot_randombuy","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,"should bots ignore their prefered weapons and just buy weapons at random?"
"bot_show_battlefront","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,"Show areas where rushing players will initially meet."
"bot_show_nav","0       ",,,"GAMEDLL","CHEAT",,,,,,,"REPLICATED",,,,,,,,,,"For internal testing purposes."
"bot_show_occupy_time","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,"Show when each nav area can first be reached by each team."
"bot_show_patrol_areas","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,"Show bot patrol areas if present."
"bot_snipers_only","cmd",,,,,,,,,,,,,,,,,,,,,"Restricts the bots to only using sniper rifles"
"bot_stop","0       ",,,"GAMEDLL","CHEAT",,,,,,,"REPLICATED",,,,,,,,,,"bot_stop <1|all> | <not_bomber> | <t> | <ct>"
"bot_traceview","0       ",,,"GAMEDLL","CHEAT",,,,,,,"REPLICATED",,,,,,,,,,"For internal testing purposes."
"bot_zombie","0       ",,,"GAMEDLL","CHEAT",,,,,,,"REPLICATED",,,,,,,,,,"If nonzero, bots will stay in idle mode and not attack."
"box","cmd",,,,,,,,,,,,,,,,,,,,,"Draw a debug box."
"'-break'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+break'","cmd",,,,,,,,,,,,,,,,,,,,,""
"buddha","cmd",,,,,,,,,,,,,,,,,,,,,"Toggle.  Player takes damage but won't die. (Shows red cross when health is zero)"
"budget_averages_window","30      ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"number of frames to look at when figuring out average frametimes"
"budget_background_alpha","128     ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"how translucent the budget panel is"
"budget_bargraph_background_alpha","128     ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"how translucent the budget panel is"
"budget_bargraph_range_ms","16      ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"budget bargraph range in milliseconds"
"budget_history_numsamplesvisible","100     ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"number of samples to draw in the budget history window.  The lower the better as far as rendering overhead of the budget panel"
"budget_history_range_ms","66      ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"budget history range in milliseconds"
"budget_panel_bottom_of_history_fraction","0       ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"number between 0 and 1"
"budget_panel_height","384     ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"height in pixels of the budget panel"
"budget_panel_width","512     ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"width in pixels of the budget panel"
"budget_panel_x","0       ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"number of pixels from the left side of the game screen to draw the budget panel"
"budget_panel_y","50      ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"number of pixels from the top side of the game screen to draw the budget panel"
"budget_peaks_window","30      ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"number of frames to look at when figuring out peak frametimes"
"budget_show_averages","0       ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"enable/disable averages in the budget panel"
"budget_show_history","1       ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"turn history graph off and on. . good to turn off on low end"
"budget_show_peaks","1       ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"enable/disable peaks in the budget panel"
"budget_toggle_group","cmd",,,,,,,,,,,,,,,,,,,,,"Turn a budget group on/off"
"bug","cmd",,,,,,,,,,,,,,,,,,,,,"Show the bug reporting UI."
"bugreporter_uploadasync","0       ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"Upload attachments asynchronously"
"bugreporter_username","0       ","ARCHIVE",,,,,,,,,,,,,,,,,,,,"Username to use for bugreporter"
"buildcubemaps","cmd",,,,,,,,,,,,,,,,,,,,,"Rebuild cubemaps."
"building_cubemaps","0       ",,,,"CHEAT",,,,,,,,,,,,"CLIENTDLL",,,,,"Indicates we're building cubemaps"
"buildmodelforworld","cmd",,,,,,,,,,,,,,,,,,,,,"buildmodelforworld"
"buy_stamps","cmd",,,,,,,,,,,,,,,,,,,,,"Temporary solution for Pinion to kick back to community map makers."
"buymenu","cmd",,,,,,,,,,,,,,,,,,,,,"Show or hide main buy menu"
"buyrandom","cmd",,,,,,,,,,,,,,,,,,,,,"Buy random primary and secondary. Primarily for deathmatch where cost is not an issue."
"c_maxdistance","200     ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_maxpitch","90      ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_maxyaw","135     ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_mindistance","30      ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_minpitch","0       ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_minyaw","-135    ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_orthoheight","100     ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_orthowidth","100     ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_thirdpersonshoulder","0       ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_thirdpersonshoulderaimdist","120     ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_thirdpersonshoulderdist","40      ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_thirdpersonshoulderheight","5       ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"c_thirdpersonshoulderoffset","20      ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"cache_print","cmd",,,,,,,,,,,,,,,,,,,,,"cache_print [section]
Print out contents of cache memory."
"cache_print_lru","cmd",,,,,,,,,,,,,,,,,,,,,"cache_print_lru [section]
Print out contents of cache memory."
"cache_print_summary","cmd",,,,,,,,,,,,,,,,,,,,,"cache_print_summary [section]
Print out a summary contents of cache memory."
"callvote","cmd",,,,,,,,,,,,,,,,,,,,,"Start a vote on an issue."
"cam_collision","1       ","ARCHIVE",,,,,,,,,,,,,"SERVER_CAN_EXECUTE",,"CLIENTDLL",,,,,"When in thirdperson and cam_collision is set to 1, an attempt is made to keep the camera from passing though walls."
"cam_command","cmd",,,,,,,,,,,,,,,,,,,,,"Tells camera to change modes"
"cam_idealdelta","4       ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,"Controls the speed when matching offset to ideal angles in thirdperson view"
"cam_idealdist","150     ","ARCHIVE",,,,,,,,,,,,,"SERVER_CAN_EXECUTE",,"CLIENTDLL",,,,,""
"cam_idealdistright","0       ","ARCHIVE",,,,,,,,,,,,,"SERVER_CAN_EXECUTE",,"CLIENTDLL",,,,,""
"cam_idealdistup","0       ","ARCHIVE",,,,,,,,,,,,,"SERVER_CAN_EXECUTE",,"CLIENTDLL",,,,,""
"cam_ideallag","4       ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,"Amount of lag used when matching offset to ideal angles in thirdperson view"
"cam_idealpitch","0       ","ARCHIVE",,,,,,,,,,,,,"SERVER_CAN_EXECUTE",,"CLIENTDLL",,,,,""
"cam_idealyaw","0       ","ARCHIVE",,,,,,,,,,,,,"SERVER_CAN_EXECUTE",,"CLIENTDLL",,,,,""
"cam_showangles","0       ",,,,"CHEAT",,,,,,,,,,,,"CLIENTDLL",,,,,"When in thirdperson, print viewangles/idealangles/cameraoffsets to the console."
"cam_snapto","0       ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,,""
"'-camdistance'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+camdistance'","cmd",,,,,,,,,,,,,,,,,,,,,""
"cameraman_override","0       ",,,,,,,,,,,,,,,,,,,,,"Set to 1 when you're secondary cameraman and need to override the primary cameraman's observer target and mode"
"'+camin'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'-camin'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+cammousemove'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'-cammousemove'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'-camout'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+camout'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+campitchdown'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'-campitchdown'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+campitchup'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'-campitchup'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+camyawleft'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'-camyawleft'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'+camyawright'","cmd",,,,,,,,,,,,,,,,,,,,,""
"'-camyawright'","cmd",,,,,,,,,,,,,,,,,,,,,""
"cancelselect","cmd",,,,,,,,,,,,,,,,,,,,,""
"cash_player_bomb_defused","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_player_bomb_planted","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_player_damage_hostage","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_player_get_killed","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_player_interact_with_hostage","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_player_killed_enemy_default","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_player_killed_enemy_factor","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_player_killed_hostage","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_player_killed_teammate","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_player_rescued_hostage","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_player_respawn_amount","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_team_elimination_bomb_map","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_team_elimination_hostage_map_ct","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_team_elimination_hostage_map_t","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_team_hostage_alive","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"cash_team_hostage_interaction","0       ",,,,,,"NOTIFY",,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
